description,category
GitHub ₹263,technology
Zoom ₹1989,technology
Zoom ₹214,technology
Zomato ₹1967,food
GitHub ₹1631,technology
GitHub ₹723,technology
BookMyShow ₹1759,entertainment
Cafe Coffee Day ₹1344,food
Flipkart ₹1182,shopping
TataCliq ₹1731,shopping
Zoom ₹882,technology
Cab ₹1084,transport
Uber ₹1134,transport
Snapdeal ₹1074,shopping
Cafe Coffee Day ₹436,food
GitHub ₹1803,technology
Steam ₹1577,entertainment
DigitalOcean ₹1052,technology
Ajio ₹196,shopping
Nykaa ₹1752,shopping
Steam ₹298,entertainment
BookMyShow ₹422,entertainment
Netflix ₹1072,entertainment
DigitalOcean ₹404,technology
Spotify ₹1158,entertainment
Snapdeal ₹673,shopping
Cab ₹749,transport
Google Drive ₹1265,technology
Snapdeal ₹1343,shopping
Swiggy ₹752,food
TataCliq ₹212,shopping
Uber Eats ₹378,food
Uber Eats ₹804,food
Starbucks ₹1216,food
Cafe Coffee Day ₹722,food
Redbus ₹1475,transport
Zomato ₹1931,food
Microsoft ₹654,technology
TataCliq ₹1893,shopping
Zoom ₹1985,technology
BookMyShow ₹891,entertainment
Starbucks ₹378,food
Swiggy ₹123,food
Starbucks ₹1015,food
Zoom ₹1598,technology
Redbus ₹363,transport
Rapido ₹1967,transport
Netflix ₹375,entertainment
TataCliq ₹1781,shopping
Starbucks ₹520,food
Myntra ₹70,shopping
Pizza Hut ₹769,food
Uber ₹1502,transport
Amazon ₹1373,shopping
Rapido ₹1268,transport
Rapido ₹740,transport
Netflix ₹1980,entertainment
Adobe ₹343,technology
Nykaa ₹1299,shopping
Myntra ₹1680,shopping
Swiggy ₹70,food
Rapido ₹1434,transport
GitHub ₹1645,technology
IRCTC ₹125,transport
BookMyShow ₹1611,entertainment
Adobe ₹1760,technology
Microsoft ₹1320,technology
Swiggy ₹627,food
Hotstar ₹875,entertainment
GitHub ₹1187,technology
Netflix ₹1437,entertainment
BookMyShow ₹1509,entertainment
YouTube Premium ₹1329,entertainment
Steam ₹1580,entertainment
TataCliq ₹1787,shopping
Myntra ₹753,shopping
Ola ₹1597,transport
Spotify ₹1677,entertainment
Hotstar ₹1900,entertainment
Uber ₹88,transport
Cafe Coffee Day ₹1132,food
Swiggy ₹1629,food
Ola ₹542,transport
Auto ₹563,transport
YouTube Premium ₹988,entertainment
Redbus ₹94,transport
Rapido ₹1681,transport
Snapdeal ₹1406,shopping
Amazon ₹1450,shopping
BookMyShow ₹1583,entertainment
Cab ₹120,transport
Google Drive ₹698,technology
Ola ₹1177,transport
Swiggy ₹1615,food
Steam ₹1814,entertainment
Rapido ₹1207,transport
BookMyShow ₹595,entertainment
Redbus ₹621,transport
Uber ₹1634,transport
Domino's ₹135,food
PVR Cinemas ₹1480,entertainment
Uber Eats ₹573,food
Google Drive ₹490,technology
Domino's ₹878,food
Amazon ₹794,shopping
Cab ₹1776,transport
Nykaa ₹519,shopping
Rapido ₹860,transport
Starbucks ₹731,food
DigitalOcean ₹1872,technology
Zoom ₹1369,technology
Myntra ₹1357,shopping
Ajio ₹768,shopping
DigitalOcean ₹401,technology
Uber ₹1408,transport
Ola ₹589,transport
Netflix ₹342,entertainment
IRCTC ₹634,transport
Netflix ₹1770,entertainment
IRCTC ₹390,transport
Apple ₹1973,technology
Cab ₹1114,transport
Apple ₹1587,technology
Starbucks ₹362,food
